Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
QUINTA NORMAL_ESCUELA GIL DE CASTRO;-33.41222965;-70.71839974;34;34
QUINTA NORMAL_ESCUELA INDIA;0;0;21;21
QUINTA NORMAL_ESCUELA INGLATERRA;-33.44074133;-70.70375703;126;126
QUINTA NORMAL_ESCUELA INSIGNE GABRIELA;-33.43247311;-70.70930353;46;46
QUINTA NORMAL_ESCUELA LO FRANCO;-33.42168257;-70.70081894;126;126
QUINTA NORMAL_ESCUELA MEMBRILLAR;-33.43108676;-70.71913695;51;51
QUINTA NORMAL_ESCUELA N°1124 ALIANZA AMERICANA;-33.43128054;-70.6902485;19;19
QUINTA NORMAL_ESCUELA OLGA NAVARRO SEPULVEDA;-33.42598203;-70.70450425;42;42
QUINTA NORMAL_ESCUELA PARTICULAR ANDRES BELLO;-33.44500196;-70.69434789;55;55
QUINTA NORMAL_ESCUELA PARTICULAR CARMEN CHACON;-33.41428422;-70.71077631;20;20
QUINTA NORMAL_ESCUELA PARTICULAR JOSE JOAQUIN PEREZ;-33.43158936;-70.69595927;7;7
QUINTA NORMAL_ESCUELA PARTICULAR MARIA CRISTINA;-33.42473112;-70.71821266;55;55
QUINTA NORMAL_ESCUELA PARTICULAR NUEVO HORIZONTE;-33.43139278;-70.7010933;14;14
QUINTA NORMAL_ESCUELA PARTICULAR PDTE. ABRAHAM LINCOLN;-33.42991097;-70.71799853;97;97
QUINTA NORMAL_ESCUELA PARTICULAR SAGRADA FAMILIA;-33.44709349;-70.69733204;69;69
QUINTA NORMAL_ESCUELA PARTICULAR VICTOR HUGO;-33.41640178;-70.69336905;52;52
QUINTA NORMAL_ESCUELA PLATON;-33.41153236;-70.70439349;54;54
QUINTA NORMAL_ESCUELA REPUBLICA DE LA INDIA;-33.44133926;-70.69829994;105;105
QUINTA NORMAL_HOGAR SANTA CATALINA;-33.4252174;-70.6884814;3;3
QUINTA NORMAL_LICEO POLIV.SAN JOSE DE LA PRECIOSA SANG;-33.42921616;-70.71656416;237;237
QUINTA NORMAL_NUEVA GENERACION;-33.4108927;-70.71131283;16;16
QUINTA NORMAL_PAICAVI;-33.41933276;-70.71510206;90;90
QUINTA NORMAL_PASITOS DE AMOR;-33.414733;-70.697833;44;44
QUINTA NORMAL_POETA PEDRO PRADO;-33.432525;-70.686925;226;226
QUINTA NORMAL_RENACER;-33.41181546;-70.71584062;162;162
QUINTA NORMAL_S.C. JANEQUEO;-33.428737;-70.719273;38;38
QUINTA NORMAL_UNIENDO RAICES;-33.431679;-70.68439;49;49
RECOLETA_ADKINTUN;-33.4214;-70.64895;53;53
RECOLETA_AMANECER;-33.39697572;-70.63159841;83;83
RECOLETA_ARCOÖRIS;-33.410319;-70.632191;194;194
RECOLETA_BAMBI;-33.40166996;-70.64145004;144;144
RECOLETA_CENTRO EDUC.ESCRITORES DE CHILE;-33.38516368;-70.64526119;46;46
RECOLETA_CENTRO EDUCACIONAL SAN LORENZO;-33.39045097;-70.65532689;136;136
RECOLETA_COL HOSP. CONSTRUYENDO SUEÑOS, CLINICA DAVILA;-33.4272776;-70.64854531;17;17
RECOLETA_COLEGIO ACADEMIA DE HUMANIDADES;-33.423432;-70.645;167;167
RECOLETA_COLEGIO ISABEL RIQUELME;-33.40382487;-70.63137694;5;5
RECOLETA_COLEGIO MARIA TERESA CANCINO AGUILAR;-33.41236812;-70.63803656;139;139
RECOLETA_COLEGIO POLIV. ALEJANDRO FLORES;-33.4051111;-70.64571246;135;135
RECOLETA_COLEGIO RAFAEL SANHUEZA LIZARDI;-33.42858364;-70.64461953;159;159
RECOLETA_COLEGIO SAN JUAN DIEGO;-33.38217153;-70.64286727;124;124
RECOLETA_DOMINGUITO;-33.39283501;-70.6485797;145;145
RECOLETA_EL MANZANO;-33.42579;-70.644561;145;145
RECOLETA_ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY;-33.42700918;-70.64669818;140;140
RECOLETA_ESCUELA ANNE ELEONOR ROOSEVELT;-33.41242581;-70.62560669;31;31
RECOLETA_ESCUELA BÁSICA Nº 953 JOSE ARTIGA;-33.38882705;-70.64248145;99;99
RECOLETA_ESCUELA BASICA PART.BRIGIDA WALKER;-33.38167211;-70.6492163;4;4
RECOLETA_ESCUELA BASICA SANTO DOMINGO;-33.3960469;-70.65270549;117;117
RECOLETA_ESCUELA DE PARVULOS ALADDIN;-33.392532;-70.63436;102;102
RECOLETA_ESCUELA DE PARVULOS N°1914 MYCKEY;-33.39412999;-70.63849;9;9
RECOLETA_ESCUELA EDUC.DIF. STA. TERESA DE AVILA;-33.40449499;-70.648285;27;27
RECOLETA_ESCUELA ESCRITORA MARCELA PAZ;-33.38432812;-70.6519407;42;42
RECOLETA_ESCUELA ESP. EPUMALEN;-33.40428;-70.64266;13;13
RECOLETA_ESCUELA ESP. PART. GIRASOL DE RECOLETA;-33.409252;-70.63164999;132;132
RECOLETA_ESCUELA ESP. RENACERES;-33.40889;-70.64416;82;82
RECOLETA_ESCUELA ESP. SEMILLITA DE RECOLETA;-33.38803999;-70.64905;287;287
RECOLETA_ESCUELA ESPANA;-33.39606928;-70.64101814;55;55
RECOLETA_ESCUELA ESPEC. PART. ARCO IRIS DE RECOLETA;-33.402752;-70.651436;129;129
RECOLETA_ESCUELA ESPECIAL MAGOS;-33.40827;-70.643135;108;108
RECOLETA_ESCUELA ESPECIAL Nº 2284 LOS ANGELITOS FELICE;-33.41729999;-70.64221999;55;55
RECOLETA_ESCUELA ESPECIAL PART. ANTULEMU;-33.39862;-70.626884;89;89
RECOLETA_ESCUELA ESPECIAL PART. MAHUIDANCHE;-33.411354;-70.63227999;131;131
RECOLETA_ESCUELA ESPECIAL PART. MERCEDES;-33.396076;-70.626785;223;223
RECOLETA_ESCUELA ESPECIAL PARTICULAR CRECER;-33.393963;-70.64824;100;100
RECOLETA_ESCUELA MARTA COLVIN;-33.40627168;-70.62420548;14;14
RECOLETA_ESCUELA MUN.HERMANA MARIA GORETTI;-33.38916527;-70.63758855;14;14
RECOLETA_ESCUELA PART MARY AND GEORGE S SCHOOL;-33.41702435;-70.63937145;52;52
RECOLETA_ESCUELA PARTICULAR FRANCISCO BILBAO;-33.40779476;-70.63490105;164;164
RECOLETA_ESCUELA PARTICULAR JAIME EYZAGUIRRE;-33.40133089;-70.63256473;10;10
RECOLETA_ESCUELA PARTICULAR N.SRA.DE GUADALUPE;-33.39836347;-70.6363131;133;133
RECOLETA_ESCUELA PARTICULAR RAMON FREIRE;-33.40801874;-70.63634189;108;108
RECOLETA_ESCUELA PARTICULAR SAN FELIPE NERI;-33.41734957;-70.64175874;54;54
RECOLETA_ESCUELA PARTICULAR SAN JOSE;-33.40426175;-70.64490963;33;33
RECOLETA_ESCUELA PARVULOS PIN PIN SERAFIN;-33.39501;-70.64753;37;37
RECOLETA_ESCUELA PUERTO RICO;-33.39812655;-70.63977774;70;70
RECOLETA_ESCUELA RAFAEL VALDIVIESO;-33.41270393;-70.63640239;79;79
RECOLETA_ESCUELA SARGENTO 2. DANIEL REBOLLEDO;-33.39256791;-70.6508209;71;71
RECOLETA_ESCUELA VICTOR CUCCUINI;-33.40249084;-70.6354352;77;77
RECOLETA_ESTRELLITAS MAGICAS;-33.38484298;-70.65202267;21;21
RECOLETA_JAVIERA CARRERA;-33.384265;-70.644529;188;188
RECOLETA_JESUS DE BELEN;-33.387747;-70.642022;114;114
RECOLETA_JUANITA FERNANDEZ SOLAR;-33.40380369;-70.64165148;37;37
RECOLETA_LAS VIOLETAS;-33.40300615;-70.63551637;51;51
RECOLETA_LEONOR OSORIO LLANTEN;-33.39854399;-70.65638702;106;106
RECOLETA_LICEO ARTURO PEREZ CANTO;-33.40144256;-70.62933511;65;65
RECOLETA_LICEO AVENIDA RECOLETA;-33.39025525;-70.64273366;118;118
RECOLETA_LICEO BICENTENARIO NUEVA AURORA DE CHILE;-33.39700977;-70.64567774;30;30
RECOLETA_LICEO POLIVALENTE SANTA JULIANA;-33.40708328;-70.64873606;144;144
RECOLETA_LOS RECOLETITOS;-33.401543;-70.630099;77;77
RECOLETA_MARTA ROSS DE EDWARDS;-33.391217;-70.654099;83;83
RECOLETA_MILLARAY;-33.382694;-70.656829;137;137
RECOLETA_NACIENTE;-33.39023146;-70.63725116;183;183
RECOLETA_NEWEN PICHIKEQUE;-33.393037;-70.631833;161;161
RECOLETA_NO ME OLVIDES;-33.38507329;-70.6428288;135;135
RECOLETA_RINCONCITO FELIZ;-33.395182;-70.655585;48;48
RECOLETA_SALA CUNA NACIENTE;-33.389581;-70.637359;82;82
RECOLETA_SANTA MONICA;-33.386401;-70.65679;205;205
RECOLETA_SEMILLA Y SOL;-33.38407467;-70.65167788;19;19
RENCA_CAPULLITO DE TERNURA;-33.401073;-70.710116;100;100
RENCA_CARNAVALITO;-33.39351496;-70.69094697;148;148
RENCA_CENTRO EDUC. GOYENECHEA;-33.40656652;-70.73691622;63;63
RENCA_CENTRO EDUCACIONAL FEDERICO GARCIA LORCA;-33.40518934;-70.70484484;55;55
RENCA_CENTRO EDUCACIONAL LAURA VICUNA;-33.40306366;-70.71002213;46;46
RENCA_COLEG. POLIV. SANTA MARIA DE LA PROVIDENCIA;-33.41036968;-70.68889435;69;69
RENCA_COLEGIO ALONSO DE CORDOVA;-33.4062648;-70.75825522;118;118
RENCA_COLEGIO CORAZON DE JESUS DE RENCA;-33.40076507;-70.70422985;37;37
RENCA_COLEGIO EL BOSQUE DE RENCA;-33.40377905;-70.74172543;114;114
RENCA_COLEGIO JORGE ALESSANDRI RODRIGUEZ;-33.40939;-70.737854;237;237
RENCA_COLEGIO LO BOZA ROSALBA LAGOS MONACO;-33.403503;-70.7399;61;61
RENCA_COLEGIO PART. SOCHIDES RENCA;-33.40074501;-70.72521632;237;237
RENCA_COLEGIO PARTICULAR CHARLES DARWIN;-33.40826233;-70.69279868;52;52
RENCA_COLEGIO PARTICULAR HELENICO;-33.39834523;-70.72224457;25;25
RENCA_COLEGIO POLIV. SAN JOSE DE RENCA;-33.4013313;-70.72015431;119;119
RENCA_COLEGIO SAN JOAQUIN;-33.39991112;-70.72908621;86;86
RENCA_CRISTO VIVE;-33.40743801;-70.74504301;113;113
RENCA_CUMB VOLCAN NEVADO INCAHUASI;-33.4116;-70.72899;95;95
RENCA_CUMBRE CERRO ACONCAGUA;-33.40441294;-70.73015598;81;81
RENCA_CUMBRE MONTE EVEREST;-33.40408483;-70.70146963;142;142
RENCA_CUMBRE MONTE KILIMANJARO;-33.40579296;-70.72337172;52;52
RENCA_CUMBRE TORRES DEL PAINE;-33.40131837;-70.73642386;156;156
RENCA_CUMBRE VOLCAN LONQUIMAY;-33.40525947;-70.71009602;54;54
RENCA_CUMBRE VOLCAN OJOS DEL SALADO;-33.40888293;-70.72825237;96;96
RENCA_CUMBRE VOLCAN OSORNO;-33.39919706;-70.70168389;90;90
RENCA_CUMBRE VOLCAN PARINACOTA;-33.41123;-70.73077;60;60
RENCA_CUMBRE VOLCAN VILLARRICA;-33.39888885;-70.74369829;130;130
RENCA_EL MUNDO DE LOS NIÑOS;-33.40425281;-70.69777278;107;107
RENCA_ESC. BASICA MONSERRAT ROBERT DE GARCIA;-33.40453575;-70.73666029;46;46
RENCA_ESC. ESP. MAGICAS PALABRAS;-33.40309899;-70.708519;145;145
RENCA_ESC. ESPECIAL ARTESANOS DE LA VIDA;-33.41064999;-70.743866;24;24
RENCA_ESC. ESPEICIAL VOCES II;-33.405937;-70.72208;47;47
RENCA_ESC. PARV. UN RINCON DE ALEGRIA;-33.401455;-70.739616;64;64
RENCA_ESC.MUNIC.DE PARVULOS HERNAN DEL SOL;-33.41143799;-70.729935;78;78
RENCA_ESCUELA BASICA ISABEL LE BRUN;-33.40505077;-70.71227233;99;99
RENCA_ESCUELA BASICA LO VELASQUEZ;-33.40571544;-70.74463041;46;46
RENCA_ESCUELA BASICA N° 878 LOS ACACIOS;-33.40723135;-70.69227213;27;27
RENCA_ESCUELA BASICA NAMUNCURA;-33.407204;-70.749016;39;39
RENCA_ESCUELA BASICA PARTICULAR ROQUER;-33.40624008;-70.70246519;62;62
RENCA_ESCUELA BASICA Y ESPECIAL N° 1905 JACARANDA;-33.40411;-70.73797999;222;222
RENCA_ESCUELA CAPITAN JOSE LUIS ARANEDA;-33.40527766;-70.72328619;40;40
RENCA_ESCUELA DE PARV. MUSICAL GARFIELD;-33.405613;-70.727295;55;55
RENCA_ESCUELA DIFERENCIAL N° 2480 ` AMULEN`;-33.40402;-70.73629;30;30
RENCA_ESCUELA DOMINGO SANTA MARIA GONZALEZ;-33.40484033;-70.71058361;69;69
RENCA_ESCUELA ESP. PROFESORA ELSA BENITEZ;-33.40348;-70.73600999;175;175
RENCA_ESCUELA ESPECIAL DE LENGUAJE PETRICOR;-33.39954999;-70.74536999;73;73
RENCA_ESCUELA ESPECIAL EL RINCON DE JOSEFINA;-33.396805;-70.722916;88;88
RENCA_ESCUELA ESPECIAL JESUS ANGEL GAZO;-33.399849;-70.721992;114;114
RENCA_ESCUELA ESPECIAL MAGOS DE RENCA;-33.403488;-70.713211;141;141
RENCA_ESCUELA ESPECIAL N° 2451 `PUCALAN`;-33.39933;-70.69799;86;86
RENCA_ESCUELA ESPECIAL PARTICULAR ESPERANZA;-33.405064;-70.70564;19;19
RENCA_ESCUELA GENERAL MANUEL BULNES PRIETO;-33.41633153;-70.68530905;58;58
RENCA_ESCUELA JUANA ATALA DE HIRMAS;-33.42176612;-70.67654668;64;64
RENCA_ESCUELA JUANA DE LESTONAC;-33.40298808;-70.72370354;36;36
RENCA_ESCUELA PARTIC. COLEGIO BALMACEDA-RENCA;-33.40210596;-70.71797923;27;27
RENCA_ESCUELA PARTICULAR JOSE BERNARDO SUAREZ;-33.40043982;-70.71670618;31;31
RENCA_ESCUELA PARTICULAR PRIMITIVA ECHEVERRIA;-33.40333308;-70.70751846;88;88
RENCA_ESCUELA PARTICULAR SAN FIDEL;-33.40371933;-70.70577317;33;33
RENCA_ESCUELA PARTICULAR SAN GENARO;-33.40446948;-70.71986565;47;47
RENCA_ESCUELA REBECA MATTE BELLO;-33.40389768;-70.73007011;112;112
RENCA_HUELLAS DE FELICIDAD;-33.403694;-70.70044;129;129
RENCA_KAIROS;-33.40686827;-70.71884352;62;62
RENCA_LA ALBORADA;-33.40570399;-70.69707;45;45
RENCA_LICEO GENERAL ALEJANDRO GOROSTIAGA ORREGO;-33.39329536;-70.69644571;57;57
RENCA_LICEO THOMAS ALVA EDISON;-33.39868189;-70.70159944;35;35
RENCA_LOS PEQUES Y PECAS DEL MAÑANA;-33.399785;-70.701427;75;75
RENCA_MARÖA FLORA YΜNEZ;-33.40317;-70.727279;149;149
RENCA_NUESTRA SE¥ORA DE MIRAFLORES;-33.400273;-70.750542;120;120
RENCA_PABLO NERUDA;-33.403703;-70.701834;165;165
RENCA_PAPELUCHO;-33.393296;-70.697798;97;97
RENCA_RAYN MAWUNKO;-33.400289;-70.737221;42;42
RENCA_RUISEÑOR DEL ALBA;-33.397465;-70.727023;124;124
RENCA_SALA CUNA CRISTO VIVE;-33.40838794;-70.74547207;38;38
RENCA_SEMILLITAS DEL FUTURO;-33.389645;-70.697169;84;84
RENCA_SONRISA DE ΜNGELES;-33.40904;-70.744062;114;114
RENCA_VALLE DE AZAPA;-33.411034;-70.740768;112;112
RENCA_VICU¥A MACKENNA;-33.405351;-70.747934;59;59
RENCA_VIRGEN DE LAS MARAVILLAS;-33.400183;-70.742853;70;70
RENCA_VIRGEN DEL PILAR;-33.404445;-70.738024;103;103
RENCA_WILEFUN;-33.40867824;-70.71845557;126;126
SAN BERNARDO_ANGEL GABRIEL;-33.591574;-70.667478;144;144
SAN BERNARDO_ANGELMÀ;-33.599024;-70.684739;176;176
SAN BERNARDO_AYELEN;-33.599284;-70.674362;60;60
SAN BERNARDO_BARTOLOMÉ FLORES;-33.579169;-70.692285;124;124
SAN BERNARDO_BELN;-33.587493;-70.669893;184;184
SAN BERNARDO_CENTRO EDUC. PADRE ALBERTO HURTADO DE SAN BER;-33.60390082;-70.68000637;111;111
SAN BERNARDO_CENTRO EDUC.PART.ORDEN DE SAN JORGE;-33.60423894;-70.68338811;18;18
SAN BERNARDO_CENTRO EDUCACIONAL BALDOMERO LILLO;-33.58039894;-70.68901981;79;79
SAN BERNARDO_CENTRO ESTI. DE HAB. COMUNICATIVAS AMERICA;-33.58129;-70.70463599;75;75
SAN BERNARDO_COLEGIO ALTERRA;-33.64045999;-70.69542;47;47
SAN BERNARDO_COLEGIO AMERICAN ACADEMY;-33.60268328;-70.69942691;99;99
SAN BERNARDO_COLEGIO ARAGON;-33.60756085;-70.712037;46;46
SAN BERNARDO_COLEGIO CORDILLERA DE LOS ANDES;-33.59556606;-70.67585805;100;100
SAN BERNARDO_COLEGIO DE LA INMACULADA CONCEPCIÓN;-33.59036394;-70.70582816;135;135
SAN BERNARDO_COLEGIO DENHAM SCHOOL;-33.639542;-70.674823;66;66
SAN BERNARDO_COLEGIO DOMINGO EYZAGUIRRE;-33.58496364;-70.69615438;19;19
SAN BERNARDO_COLEGIO FITZROY COLLEGE;-33.61866779;-70.69676231;38;38
SAN BERNARDO_COLEGIO GETSEMANI;-33.60657719;-70.70298307;72;72
SAN BERNARDO_COLEGIO INGLES ISAAC NEWTON;-33.60189896;-70.70138702;20;20
SAN BERNARDO_COLEGIO LOS PINOS;-33.57034;-70.70757999;31;31
SAN BERNARDO_COLEGIO MONTESSORI;-33.59664561;-70.70406523;62;62
SAN BERNARDO_COLEGIO NOBEL GABRIELA MISTRAL;-33.60652263;-70.67359033;146;146
SAN BERNARDO_COLEGIO PALMARES VALLE LOS CÓNDORES;-33.62570999;-70.683426;163;163
SAN BERNARDO_COLEGIO PART. INSTITUTO CORINTIO;-33.59744905;-70.71413844;55;55
SAN BERNARDO_COLEGIO PARTICULAR IGNACIO SERRANO;-33.58831365;-70.67393567;53;53
SAN BERNARDO_COLEGIO POLIV. PDTE. JOSE MANUEL BALMACEDA;-33.56012449;-70.71257706;60;60
SAN BERNARDO_COLEGIO POLIV. SAN BERNARDO ABAD;-33.59607568;-70.68003659;65;65
SAN BERNARDO_COLEGIO QUILLAHUE SAN BERNARDO;-33.57068459;-70.71131334;21;21
SAN BERNARDO_COLEGIO SAINT ARIELI;-33.58963183;-70.7061822;59;59
SAN BERNARDO_COLEGIO SAN FRANCISCO DE ASIS DE SAN BERNARDO;-33.61626362;-70.70553165;109;109
SAN BERNARDO_COLEGIO SAN JOSE;-33.59167012;-70.70052576;118;118
SAN BERNARDO_COLEGIO SANTIAGO EMPRENDEDORES;-33.64106292;-70.67027263;178;178
SAN BERNARDO_COLEGIO SEBASTIAN EL CANO SAN BERNARDO;-33.60772274;-70.69746949;105;105
SAN BERNARDO_COLEGIO SUPERIOR DEL MAIPO;-33.59546362;-70.70018238;96;96
SAN BERNARDO_COLOR ESPERANZA;-33.571975;-70.708494;61;61
SAN BERNARDO_DUENDE MELODIA;-33.668173;-70.73622501;28;28
SAN BERNARDO_EL OLIVO;-33.58430058;-70.6821598;132;132
SAN BERNARDO_ELUNEY;-33.58454397;-70.66968097;45;45
SAN BERNARDO_ESC BASICA PART EMILIA GONZALEZ ESPINOZA;-33.56998735;-70.70074144;75;75
SAN BERNARDO_ESC. BAS. Y ESP. NTRA. SRA. DE LAS NIEVES;-33.64243454;-70.73421338;54;54
SAN BERNARDO_ESC. BAS. Y ESP. PART. KIMKELEN;-33.58841596;-70.67703418;114;114
SAN BERNARDO_ESC. DE PARV. Y ESP. CARACOLA;-33.601276;-70.69292;176;176
SAN BERNARDO_ESC. DE PARV. Y ESP. CASABLANCA DE SAN BERNAR;-33.603985;-70.70261;103;103
SAN BERNARDO_ESC. DE PARVULOS PART 103 EL PRINCIPITO DE LO;-33.59352;-70.69947;9;9
SAN BERNARDO_ESC. ESP. SANTA GEMA GALGANI;-33.610355;-70.70335;65;65
SAN BERNARDO_ESCUELA ABRAHAM LINCOLN;-33.61982174;-70.69227511;38;38
SAN BERNARDO_ESCUELA ALEMANIA;-33.58097813;-70.70619126;31;31
SAN BERNARDO_ESCUELA BAS. KINGS SCHOOL;-33.6211254;-70.68900617;68;68
SAN BERNARDO_ESCUELA BASICA ANTUPILLAN;-33.58064077;-70.70120398;35;35
SAN BERNARDO_ESCUELA BASICA CINCO PINOS;-33.62681603;-70.70183381;20;20
SAN BERNARDO_ESCUELA BASICA DR LUIS SEPULVEDA SALVATI;-33.63890266;-70.70923193;31;31
SAN BERNARDO_ESCUELA BASICA ELIODORO MATTE OSSA;-33.59752493;-70.66744523;306;306
SAN BERNARDO_ESCUELA BASICA N°201, REDWOOD COLLEGE;-33.59311161;-70.693951;36;36
SAN BERNARDO_ESCUELA BASICA PARTICULAR CAMINITO;-33.59667831;-70.68893282;46;46
SAN BERNARDO_ESCUELA BASICA PARTICULAR ROBERTO LORCA;-33.603624;-70.70331249;22;22
SAN BERNARDO_ESCUELA CUMBRES DE NOS;-33.639881;-70.67900899;122;122
SAN BERNARDO_ESCUELA DE EDUCACION DIFERENCIAL;-33.58811;-70.70066;18;18
SAN BERNARDO_ESCUELA DE LENGUAGE ELISA GOMEZ;-33.59689999;-70.70404;59;59
SAN BERNARDO_ESCUELA DE LENGUAJE AMERICA II;-33.60676;-70.70527;58;58
SAN BERNARDO_ESCUELA DE LENGUAJE MARIPOSITAS;-33.60202;-70.70282;117;117
SAN BERNARDO_ESCUELA DE LENGUAJE MIS TRES ANGELITOS;-33.58133699;-70.68826;56;56
SAN BERNARDO_ESCUELA DE PARV. BERNARD COLLEGE DE SAN BERNA;-33.59868999;-70.70838999;137;137
SAN BERNARDO_ESCUELA DE PARV. CAPULLITOS DE SAN BERNARDO;-33.579433;-70.71256;33;33
SAN BERNARDO_ESCUELA DE PARV. CARRUSEL DE AMIGOS;-33.56414999;-70.70385;19;19
SAN BERNARDO_ESCUELA DE PARVULOS Y ESP. DA VINCE;-33.601543;-70.69373;86;86
SAN BERNARDO_ESCUELA DIEGO PORTALES;-33.60390273;-70.68466792;76;76
SAN BERNARDO_ESCUELA ELEODORO YANEZ PONCE DE LEON;-33.66880608;-70.74256407;38;38
SAN BERNARDO_ESCUELA ESCRITORA MARCELA PAZ;-33.60630484;-70.70662136;25;25
SAN BERNARDO_ESCUELA ESP. ANTIYAL;-33.596367;-70.702194;74;74
SAN BERNARDO_ESCUELA ESP. EL PALACIO DE LOS NIÑOS DE SAN B;-33.604267;-70.69907;200;200
SAN BERNARDO_ESCUELA ESP. KINCUIN;-33.597473;-70.698555;146;146
SAN BERNARDO_ESCUELA ESP. PART. CHARLES DE GAULLE;-33.59931;-70.694;8;8
SAN BERNARDO_ESCUELA ESP. PART. EDUC. LAUDELINA ARANEDA;-33.598537;-70.70695;239;239
SAN BERNARDO_ESCUELA ESP. PART. EL PRINCIPITO DE LO HERRER;-33.670834;-70.742035;149;149
SAN BERNARDO_ESCUELA ESP. PART. SAGRADA FAMILIA DE SAN BER;-33.588272;-70.70475999;106;106
SAN BERNARDO_ESCUELA ESP. SAN BERNARDO;-33.606495;-70.71209;110;110
SAN BERNARDO_ESCUELA ESPANA;-33.57767116;-70.69594467;21;21
SAN BERNARDO_ESCUELA ESPECIAL APRENDIENDO;-33.61563499;-70.68539;114;114
SAN BERNARDO_ESCUELA ESPECIAL DANICALIN;-33.587868;-70.67363;164;164
SAN BERNARDO_ESCUELA ESPECIAL DE LENGUAJE ALIMALINA;-33.613506;-70.718124;55;55
SAN BERNARDO_ESCUELA ESPECIAL LAUTRARU PADRE HURTADO;-33.59456999;-70.68016;110;110
SAN BERNARDO_ESCUELA ESPECIAL MISTRAL;-33.5904;-70.69467;83;83
SAN BERNARDO_ESCUELA ESPECIAL N° 190 - SAN BERNARDO;-33.585873;-70.69605;21;21
SAN BERNARDO_ESCUELA ESPECIAL N° 211 `KIMKUMTUN`;-33.586973;-70.698741;51;51
SAN BERNARDO_ESCUELA ESPECIAL N°189 `SAN VICENTE`;-33.57748999;-70.70836;40;40
SAN BERNARDO_ESCUELA ESPECIAL N°192 DE COLORES;-33.58067299;-70.68601;30;30
SAN BERNARDO_ESCUELA ESPECIAL N°196 AURINKO;-33.56016499;-70.71366999;30;30
SAN BERNARDO_ESCUELA ESPECIAL N°199 EL AROMO;-33.59158399;-70.687363;24;24
SAN BERNARDO_ESCUELA ESPECIAL N°204 ANGEL MIGUEL;-33.590974;-70.70714599;136;136
SAN BERNARDO_ESCUELA ESPECIAL N°205 ,`MI MUNDO EN PALABRAS`;-33.5985825;-70.7001846;81;81
SAN BERNARDO_ESCUELA ESPECIAL Nº 213 PRINCIPADO INFANCIA FELIZ;-33.59946999;-70.70724;52;52
SAN BERNARDO_ESCUELA ESPECIAL Nº 214 PROFESOR ANTONIO OROZ;-33.60455;-70.69817;48;48
SAN BERNARDO_ESCUELA ESPECIAL PART. N_ 110 TRINIDAD FERR;-33.597397;-70.69284;150;150
SAN BERNARDO_ESCUELA ESPECIAL RENACER;-33.628666;-70.6914;128;128
SAN BERNARDO_ESCUELA GENERAL RENE SCHNEIDER CHEREAU;-33.58365644;-70.69237978;38;38
SAN BERNARDO_ESCUELA HARAS LOS CONDORES;-33.63910357;-70.67546514;43;43
SAN BERNARDO_ESCUELA ISABEL RIQUELME;-33.59246927;-70.69451769;27;27
SAN BERNARDO_ESCUELA JAVIERA CARRERA VERDUGO;-33.58403713;-70.68637883;29;29
SAN BERNARDO_ESCUELA JOSÉ ABELARDO NÚÑEZ N°2;-33.58352311;-70.68152245;272;272
SAN BERNARDO_ESCUELA JOSE NUEZ MARTIN;-33.61635551;-70.69273977;39;39
SAN BERNARDO_ESCUELA L.GRAL. BERNARDO O´HIGGINS;-33.59237224;-70.69495127;46;46
SAN BERNARDO_ESCUELA MAHUIDA;-33.5982861;-70.71021102;29;29
SAN BERNARDO_ESCUELA MANUEL MAGALLANES MOURE;-33.58902018;-70.70352672;12;12
SAN BERNARDO_ESCUELA PART. DE LENGUAJE APORE;-33.584774;-70.70196;64;64
SAN BERNARDO_ESCUELA PART.COMANDANTE CARLOS CONDELL;-33.59813582;-70.67846369;85;85
SAN BERNARDO_ESCUELA PARTICULAR BELGICA;-33.58522357;-70.70629142;70;70
SAN BERNARDO_ESCUELA PARTICULAR TERESIANA DE SAN JOSE;-33.59061783;-70.68670951;109;109
SAN BERNARDO_ESCUELA PILAR MOLINER DE NUEZ;-33.59428638;-70.70694806;20;20
SAN BERNARDO_ESCUELA REPUBLICA DE LOS EE.UU. DE AMERICA;-33.57665711;-70.70382197;25;25
SAN BERNARDO_ESCUELA REPUBLICA DEL BRASIL;-33.60402366;-70.69876828;12;12
SAN BERNARDO_ESCUELA REPUBLICA DEL PERU;-33.60429845;-70.69771244;19;19
SAN BERNARDO_ESCUELA STA. TERESA DE LOS MORROS;-33.58863574;-70.67813984;62;62
SAN BERNARDO_GUSTO A LA VIDA;-33.624959;-70.713001;98;98
SAN BERNARDO_HERNAN MERINO CORREA;-33.59525441;-70.68632585;70;70
SAN BERNARDO_INSTITUTO DOMINGO EYZAGUIRRE;-33.60101;-70.70115;57;57
SAN BERNARDO_INSTITUTO SAGRADO CORAZON;-33.592103;-70.70856;106;106
SAN BERNARDO_INSTITUTO SAN PABLO MISIONERO;-33.59807241;-70.70024943;218;218
SAN BERNARDO_INTI SUYAI;-33.601541;-70.670329;75;75
SAN BERNARDO_LA PLAYA;-33.62302;-70.683198;93;93
SAN BERNARDO_LA PORTADA DE SAN BERNARDO;-33.58391301;-70.690273;124;124
SAN BERNARDO_LAS HORMIGUITAS;-33.62709837;-70.70109951;19;19
SAN BERNARDO_LAS HORTENSIAS;-33.599655;-70.670127;127;127
