Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
BUIN_ESCUELA ESPECIAL DEL LENGUAJE ROMIYANCO;-33.72994;-70.7463;148;148
BUIN_ESCUELA ESPECIAL N° 203 ALTO BUIN II;-33.71936999;-70.74148;168;168
BUIN_ESCUELA ESPECIAL N° 208 LA RONDA;-33.73964;-70.73571;146;146
BUIN_ESCUELA ESPECIAL N°165 MONTESOL;-33.675022;-70.667869;120;120
BUIN_ESCUELA ESPECIAL N°197 MI PEQUEÑO MOZART;-33.73944999;-70.68104;86;86
BUIN_ESCUELA ESPECIAL N°198 LOS GIRASOLES;-33.732084;-70.745143;149;149
BUIN_ESCUELA ESPECIAL Nº 168 NAJU;-33.733665;-70.78006;91;91
BUIN_ESCUELA ESPECIAL PARTICULAR ANTAI;-33.72890499;-70.74299999;110;110
BUIN_ESCUELA HUMBERTO MORENO RAMIREZ;-33.81089957;-70.76396153;61;61
BUIN_ESCUELA LO SALINAS;-33.73501344;-70.76025223;45;45
BUIN_ESCUELA LOS ROSALES DEL BAJO;-33.71385888;-70.74442854;130;130
BUIN_ESCUELA SAN IGNACIO DE BUIN;-33.747065;-70.74938899;75;75
BUIN_ESCUELA VALDIVIA DE PAINE;-33.81067861;-70.85754796;54;54
BUIN_ESCUELA VILLASECA;-33.74456632;-70.75065671;61;61
BUIN_ESCUELA VILUCO;-33.80096029;-70.79224107;38;38
BUIN_FANTASIA;-33.724878;-70.743957;82;82
BUIN_GOTITAS DE AGUA;-33.72909872;-70.77480488;20;20
BUIN_GRANITOS DE ARENA;-33.712249;-70.739033;99;99
BUIN_GUALDA PALMA;-33.738617;-70.761971;46;46
BUIN_HUELLAS DE COLORES;-33.728474;-70.771919;136;136
BUIN_HUMBERTO MATURANA;-33.719472;-70.737361;42;42
BUIN_LA CASITA MΜGICA;-33.76283;-70.736405;71;71
BUIN_LAS PALMAS;-33.732711;-70.735766;95;95
BUIN_LICEO 131;-33.73164938;-70.7430009;146;146
BUIN_LICEO ALTO JAHUEL;-33.72925953;-70.68480871;65;65
