"","Comuna","subsidiada","decil","escolaridad","ingreso","mater_aceptable","sanea_aceptable","calidad_aceptable","sin_allega_int","sin_allega_ext","sin_hacina"
"16","Tierra Amarilla",0.879921650111961,-0.714285714285714,0.0639134210066882,0.239252243009619,1.06215151692406,-0.0231270116572883,0.526190640314856,0.0320931570822503,0.00428785874675844,0.230126446848812
"17","Chañaral",2.30217158754719,-0.333333333333333,0.102804790479463,-0.0669716231130289,0.152323004467682,0.00739777253881797,0.158321616607116,0.0807368456320631,0.000321310522698363,0.190322158048324
"18","Diego de Almagro",0.435008585310129,0.166666666666667,0.0497185904938587,-0.0259668691762543,0.269335567846496,0.000480919710563488,0.306902669145419,0.100177197094943,-0.0128189476254426,0.0828384186608762
"19","Vallenar",0.420338586870443,0,0.0510709060591689,0.185779969827962,0.172087431998481,-0.0431382170691193,0.171681607550339,-0.0917573510497698,-0.186410258763753,0.101316342946532
"20","Alto del Carmen",0.217518758809386,1,-0.0930351386332325,0.106927216215645,1.01314276577848,0.092065336976967,1.52026672660523,0.103030862596608,-0.137640210066056,0.147323661830915
"21","Freirina",0.232568586758453,-0.25,0.101052983759936,0.286908556815799,0.0098411908906811,-0.17305760343735,-0.0315182645712086,-0.311841685285669,-0.00163043610569432,0.0124395873020847
"22","Huasco",0.389666749478318,0.333333333333333,0.0540422290841743,-0.124841016522496,0.240448335221566,-0.0437277982590279,0.172508377040725,0.224624408299213,-0.267811489546772,0.0371250302936499
"23","La Serena",-0.158104942072654,0,0.113358428242516,0.430731185116819,0.126132737700521,-0.044264241945901,0.0210514876159078,-0.0412245765520116,-0.100842327584773,0.0281908818492955
"24","Coquimbo",0.112283252712602,0.5,0.0301229707706383,-0.391798489998076,0.137774302445599,-0.0151900692482874,0.0631248462535577,0.0936134822454657,-0.157451550557384,0.0255231515014887
"25","Andacollo",-0.354444853315378,-0.5,0.103323442137372,-0.244260899226786,0.562402996685447,-0.0546365951431067,0.304342791013643,-0.0402968839276358,-0.15579127510012,0.102536039263104
"26","La Higuera",-0.164091349399712,-0.75,0.330205424859898,-0.108375723211323,0.334672032956142,-0.0473424741609815,0.245876734948217,-0.211881444958791,0,-0.00165149096360859
"27","Vicuña",0.0269297044587495,0,0.0150047149524002,-0.146320820218155,0.100053632824986,-0.0281122522891197,-0.00436645068800293,0.147735357516472,0.0433403369999588,0.0468618028709951
"28","Illapel",0.116147580885351,-0.6,0.112161476786636,-0.0154683379975523,0.0390878916881925,0.0545935836530566,0.0509337474172619,0.0235734702550736,-0.0339890402920502,-0.019572968592941
"29","Canela",-0.0702088522454644,-0.5,0.0520904542249997,-0.0137816746031114,0.328600374812338,-0.000201213351353344,0.0293523218254532,0.157154848332241,-0.0192288034577924,0.230326653404226
"30","Los Vilos",-0.296481635789113,-0.166666666666667,-0.027106537611728,-0.00401228889554901,-0.043813730733271,-0.160017676457017,-0.163847525944068,-0.0553905718929175,0.0083826981110987,0.158086767622173
"31","Salamanca",-0.195275687094294,1,0.110089146086017,0.24480630677802,0.0530310255903279,-0.14885773734209,0.0453471688895332,-0.0751687127273784,-0.0695825913217217,-0.0247490273544167
"32","Ovalle",0.251726387492303,-0.5,0.133125062836299,0.398312430426243,0.463257573345608,-0.014713806745954,0.242426301373896,-0.0716989255510725,0.115429700216201,0.193652731603383
"33","Combarbalá",0.22466933083824,-0.75,0.119752846834458,0.229048011622777,1.02033681955619,0.019980732134468,0.60734481115303,-0.140616920060788,-0.0104853758057515,0.0893938045926088
"34","Monte Patria",0.050855787370844,1.5,0.130721988886371,0.0427507840424284,0.415995345354121,0.0787402527200775,0.225545971691041,-0.17375504287293,-0.0178195755715729,0.206633773243694
"35","Punitaqui",-0.0446195260962599,-0.5,0.0528571334969092,-0.186747413310189,0.226787418388972,-0.222768548178368,0.00465708868876181,0.08212756166573,0,0.107243234425116
"36","Río Hurtado",-0.160694345448005,-0.333333333333333,0.131044520659006,-0.0231213734364768,0.726822714609316,-0.126132896037024,0.797183835845896,0.225908398422465,-0.0423452260081788,-0.0228179611970614
