"";"district";"maha";"nlp";"ppl";"cc";"ach";"mdp";"sm";"le";"as";"rs";"we";"ad";"vt";"ac";"lt";"cfo";"mahaR";"z"
"20";"CASTRO";4,27870726;10,6875489;43807;1;"0.14000000000000001";"0.32";"0.41410000000000002";8,138974134;345918,5814;0,292907309;0,19796941;"0.8337";0,463380282;0,22185952;33,97068069;5165,311386;22,9270305621337;0,349259614135751
"21";"CAUQUENES";2,85219798;10,6075994;40441;1;"0.3";"0.39";"0.3977";8,506363148;306513,3552;0,436076353;0;"0.98460000000000003";0,563780093;0,006824757;37,28143926;566,2983358;8,19558764814649;-0,503892983117996
"22";"CERRILLOS";2,97226917;11,30012821;80832;1;"0.39";"0.43";"0.41909999999999997";8,161497326;198833,3892;0,52795107;0;"0.87629999999999997";0,438444924;0,024421021;36,65655209;295,4870472;9,11126559329475;-0,45086267089994
"23";"CERRO NAVIA";4,1245017;11,79525826;132622;1;"0.62";"0.67";"0.55989999999999995";10,60384216;630136,8472;0,601539753;0;"0.96030000000000004";0,491471682;7,54e-06;32,41219633;130,2742456;17,2922472968498;0,0229283778945001
"24";"CHIGUAYANTE";1,89337609;11,36138139;85938;1;"0.49";"0.53";"0.30180000000000001";10,25656818;336800,2451;0,337469319;0,130034863;"0.80249999999999999";0,549836423;0,047883358;34,09028749;838,7837743;9,10671693439371;-0,4511261006385
"25";"CHILLAN";3,21054473;12,1266993;92369,5;6;"0.23";"0.42";"0.38619999999999999";7,93721864;296326,6218;0,271487536;0,226464033;"0.92479999999999996";0,529024698;0,050785162;31,06774237;2004,458983;10,860115381039;-0,349580281433258
"26";"CHILLAN VIEJO";2,88174;10,33873797;30907;1;"0.48";"0.59";"0.28689999999999999";10,68842171;326402,1472;0,434068805;0;"0.84260000000000002";0,604946996;0,006276895;35,7916998;282,4892419;8,43571067558188;-0,489986566366217
"27";"CHIMBARONGO";2,54722137;10,47443885;35399;1;"0.5";"0.32";"0.27889999999999998";10,09175824;304282,2836;0,509523177;0,247473955;"0.9093";0,50921659;0,20045764;35,62390464;0;6,78111297133593;-0,585810467461962
"28";"COIHUECO";2,22569063;10,199175;26881;1;"0.33";"0.48";"0.3226";8,108424087;250140,5924;0,440107882;0,315947067;"0.88429999999999997";0,546039923;0,027342733;34,78019784;418,1075853;5,61278063766937;-0,653472934115296
"29";"COLBUN";2,95390872;9,941024156;10382,5;0;"0.39";"0.55000000000000004";"0.43509999999999999";9,712105473;326680,8185;0,507826732;0;"0.88590000000000002";0,545158666;0,118998314;32,48451701;2853,385456;9,12158033215831;-0,450265306045538
