SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201641	25	13.20	30.17	108.73	3.50	2513498.20	26229.37	3.68
201642	30	17.58	29.42	98.28	3.50	2453621.60	26241.21	3.55
201643	33	11.76	29.58	64.13	3.50	2511934.60	26253.05	3.55
201644	24	14.77	28.61	45.72	3.50	2416807.20	26264.90	3.50
201645	36	13.13	30.74	66.25	3.50	2491568.00	26276.78	3.53
201646	43	17.96	31.65	61.66	3.50	2490541.60	26289.00	3.52
201647	28	21.30	31.50	58.03	3.50	2513429.20	26301.26	3.51
201648	29	19.62	29.22	69.28	3.50	2529895.60	26313.53	3.50
201649	30	16.26	28.69	75.45	3.50	2424414.00	26325.80	3.53
201650	45	22.33	30.67	75.15	3.50	2574479.60	26333.54	3.57
201651	38	11.55	30.45	70.96	3.50	2499608.60	26339.49	3.59
201652	57	16.86	28.37	87.09	3.50	2582249.20	26345.43	3.59
201701	31	28.42	28.76	94.73	3.50	2434827.00	26351.38	3.62
201702	45	15.49	29.75	91.30	3.50	2604707.40	26352.23	3.69
201703	67	14.72	32.06	96.24	3.45	2563408.80	26340.32	3.57
201704	56	19.52	30.35	89.65	3.25	2529494.00	26328.41	3.61
201705	42	13.37	34.51	80.75	3.25	2402263.60	26316.51	3.61
201706	81	11.99	29.72	100.74	3.25	2330393.80	26305.90	3.58
201707	35	15.84	28.71	98.02	3.25	2372730.80	26331.05	3.56
201708	65	13.26	32.10	72.80	3.25	2370938.40	26363.90	3.55
201709	54	25.51	33.53	76.33	3.25	2322293.00	26396.79	3.53
201710	48	17.84	31.27	80.13	3.25	2375225.60	26429.12	3.50
201711	43	10.07	30.22	89.99	3.20	2362728.00	26444.65	3.49
201712	32	19.85	32.58	124.54	3.00	2326316.80	26456.59	3.47
201713	42	14.22	31.87	105.66	3.00	2369144.20	26468.53	3.45
201714	53	18.47	30.73	87.66	3.00	2203805.00	26480.47	3.46
201715	21	30.51	33.68	107.52	3.00	2380342.80	26497.88	3.46
201716	31	16.41	33.68	96.71	2.75	2408292.80	26522.57	3.41
201717	36	13.84	28.72	70.80	2.75	2478601.20	26547.29	3.47
201718	31	21.43	27.95	69.26	2.75	2255386.80	26572.03	3.38
201719	39	14.73	30.39	65.89	2.75	2424821.00	26594.60	3.43
201720	42	12.99	33.02	62.92	2.70	2370038.40	26606.97	3.36
201721	38	19.90	32.40	85.36	2.50	2345222.00	26618.97	3.34
201722	29	11.92	32.51	127.72	2.50	2302001.20	26630.98	3.34
201723	56	27.64	30.20	111.94	2.50	2256754.00	26643.00	3.29
201724	37	14.57	32.16	100.65	2.50	2460086.40	26650.88	3.27
201725	26	20.08	32.49	117.67	2.50	2462807.40	26657.10	3.28
201726	12	11.55	30.42	104.84	2.50	2516565.80	26663.31	3.31
201727	33	17.87	30.39	80.84	2.50	2443654.40	26669.53	3.27
201728	47	27.84	36.10	67.67	2.50	2655821.80	26662.75	3.24
201729	36	19.23	30.51	67.55	2.50	2515637.60	26638.63	3.22
201730	54	16.35	31.71	55.38	2.50	2534515.60	26614.53	3.22
201731	40	12.57	29.18	67.73	2.50	2347960.40	26590.45	3.17
201732	38	15.07	28.45	72.25	2.50	2497632.20	26569.49	3.16
201733	29	20.97	31.46	62.36	2.50	2492222.60	26578.39	3.21
201734	34	13.77	31.65	61.01	2.50	2520888.20	26590.38	3.21
201735	38	15.11	32.07	64.29	2.50	2507572.77	26602.38	3.20
201736	35	15.79	29.48	70.38	2.50	2545196.72	26614.39	3.22
201737	42	23.62	29.75	61.87	2.50	2635080.80	26626.62	3.22
201738	17	15.60	32.52	68.56	2.50	2509880.30	26639.04	3.16
201739	26	17.61	31.15	67.78	2.50	2668356.15	26651.46	3.16
